,RunId,iteration,Step,jury_or_televoting,year,mu,sigma,ks
202,202,0,1,T,2021,-0.010000000000000009,0.06,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
203,203,0,1,T,2021,-0.010000000000000009,0.07,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
204,204,0,1,T,2021,-0.010000000000000009,0.075,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
205,205,0,1,T,2021,-0.010000000000000009,0.08,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
206,206,0,1,T,2021,-0.010000000000000009,0.09,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
207,207,0,1,T,2021,-0.010000000000000009,0.085,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
208,208,0,1,T,2021,-0.010000000000000009,0.1,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
209,209,0,1,T,2021,-0.010000000000000009,0.095,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
210,210,0,1,T,2021,0.0,0.0,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
211,211,0,1,T,2021,0.0,0.005,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
212,212,0,1,T,2021,0.0,0.01,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
213,213,0,1,T,2021,0.0,0.015,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
214,214,0,1,T,2021,0.0,0.025,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
215,215,0,1,T,2021,0.0,0.03,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
216,216,0,1,T,2021,0.0,0.02,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
217,217,0,1,T,2021,0.0,0.05,"KstestResult(statistic=0.5941295546558705, pvalue=2.8673753150808026e-162)"
