,Unnamed: 0,Year,(semi-) final,Edition,Jury or Televoting,From country,To country,Points      ,Duplicate
41429,41429,2017,sf1,2017sf1,T,Albania,Greece,6,
41430,41430,2017,sf1,2017sf1,T,Albania,Iceland,4,
41431,41431,2017,sf1,2017sf1,T,Albania,Latvia,0,
41432,41432,2017,sf1,2017sf1,T,Albania,Moldova,7,
41433,41433,2017,sf1,2017sf1,T,Albania,Montenegro,0,
41434,41434,2017,sf1,2017sf1,T,Albania,Poland,2,
41435,41435,2017,sf1,2017sf1,T,Albania,Portugal,12,
41436,41436,2017,sf1,2017sf1,T,Albania,Slovenia,0,
41437,41437,2017,sf1,2017sf1,T,Albania,Sweden,10,
41438,41438,2017,sf1,2017sf1,T,Armenia,Albania,0,
41439,41439,2017,sf1,2017sf1,T,Armenia,Armenia,0,x
41440,41440,2017,sf1,2017sf1,T,Armenia,Australia,3,
41441,41441,2017,sf1,2017sf1,T,Armenia,Azerbaijan,0,
41442,41442,2017,sf1,2017sf1,T,Armenia,Belgium,6,
41443,41443,2017,sf1,2017sf1,T,Armenia,Cyprus,12,
41444,41444,2017,sf1,2017sf1,T,Armenia,Czech Republic,0,
41445,41445,2017,sf1,2017sf1,T,Armenia,Finland,0,
41446,41446,2017,sf1,2017sf1,T,Armenia,Georgia,8,
